date,MU,HYNIX_USD,USDKRW,rMU,rHY,z,pos_leadlag_ls,pos_leadlag_lf,pos_meanrev,ret_leadlag_ls,ret_leadlag_lf,ret_meanrev,ret_buyhold,eq_leadlag_ls,eq_leadlag_lf,eq_meanrev,eq_buyhold
2024-05-10,120.3955078125,129.74986493502175,1365.4000244140625,0.028698995991321752,0.02279469964732872,-1.110393839977805,0.0,0.0,0.0,0.0,0.0,-0.0,0.02279469964732872,1.2769298183800004,1.1276614798241027,1.1447669071511595,1.4789102277179003
2024-05-13,122.14324951171875,132.10694674891823,1370.1099853515625,0.014412310601675138,0.01800331611046868,-1.0564304216269704,0.0,0.0,0.0,0.0,0.0,0.0,0.01800331611046868,1.2769298183800004,1.1276614798241027,1.1447669071511595,1.505535516046511
2024-05-14,123.94063568115234,133.80230444082116,1363.7900390625,0.014608174210529512,0.012751573378681158,-1.0518373199640267,0.0,0.0,0.0,0.0,0.0,-0.0,0.012751573378681158,1.2769298183800004,1.1276614798241027,1.1447669071511595,1.5247334626535887
2024-05-16,126.9991683959961,140.41147471780033,1353.5999755859375,0.024377831910668668,0.04821384643997639,-0.8221712584677611,0.0,0.0,0.0,0.0,0.0,0.0,0.04821384643997639,1.2769298183800004,1.1276614798241027,1.1447669071511595,1.5982467276838623
2024-05-17,124.41728210449219,138.93210190482063,1346.0400390625,-0.020539444048498723,-0.010591878728579474,-0.6818556753515115,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.010591878728579474,1.2769298183800004,1.1276614798241027,1.1447669071511595,1.581318292165886
2024-05-20,128.1014404296875,138.323116746675,1353.3900146484375,0.029181359085948877,-0.0043929642909077415,-1.0057512825857033,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0043929642909077415,1.2769298183800004,1.1276614798241027,1.1447669071511595,1.574371617375842
2024-05-21,126.61188507080078,139.01027379034252,1360.1600341796875,-0.011696069191575731,0.004955468568188515,-0.8055621221282283,0.0,0.0,0.0,0.0,0.0,0.0,0.004955468568188515,1.2769298183800004,1.1276614798241027,1.1447669071511595,1.582173366440396
2024-05-22,125.40038299560547,142.79488343638366,1363.4200439453125,-0.00961470183441726,0.026861376426078998,-0.4004447359648346,0.0,0.0,0.0,0.0,0.0,0.0,0.026861376426078998,1.2769298183800004,1.1276614798241027,1.1447669071511595,1.6246727208076681
2024-05-23,125.39046478271484,144.20334200993216,1365.81005859375,-7.90954931852994e-05,0.009815181809266882,-0.2688610193514753,0.0,0.0,0.0,0.0,0.0,0.0,0.009815181809266882,1.2769298183800004,1.1276614798241027,1.1447669071511595,1.6406191789429516
2024-05-24,128.5880584716797,143.00440780206762,1367.6199951171875,0.025181362681044206,-0.008348947219859681,-0.6313549775326388,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.008348947219859681,1.2769298183800004,1.1276614798241027,1.1447669071511595,1.6269217360100674
2024-05-28,131.745849609375,146.52943548144773,1360.9300537109375,0.024260735335698058,0.024350879486933152,-0.635131644920958,0.0,0.0,0.0,0.0,0.0,-0.0,0.024350879486933152,1.2769298183800004,1.1276614798241027,1.1447669071511595,1.6665387111383205
2024-05-29,130.66348266601562,146.3326712487672,1362.760009765625,-0.00824950143560077,-0.0013437331615495651,-0.5204096683792812,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0013437331615495651,1.2769298183800004,1.1276614798241027,1.1447669071511595,1.6642993278071578
2024-05-30,125.41032409667969,140.6149739221732,1370.550048828125,-0.04103422934398093,-0.03985712603740055,-0.43608363679276446,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.03985712603740055,1.2769298183800004,1.1276614798241027,1.1447669071511595,1.597965139734787
2024-05-31,124.12931060791016,135.44353003470826,1375.6199951171875,-0.010267104408232974,-0.03747067292061512,-0.7301271250860952,-1.0,0.0,0.0,0.03697067292061512,-0.0,-0.0,-0.03747067292061512,1.324138773037908,1.1276614798241027,1.1447669071511595,1.5380883106452397
2024-06-03,127.27723693847656,138.3711066516177,1382.0999755859375,0.025043825543943576,0.02138445347771789,-0.7794447930326873,0.0,0.0,0.0,-0.0005,0.0,-0.0,0.02138445347771789,1.323476703651389,1.1276614798241027,1.1447669071511595,1.5709794885688544
2024-06-04,125.75788116455078,138.86619044531943,1370.7900390625,-0.012009194972566029,0.0035715563898550684,-0.5411050831002199,0.0,0.0,0.0,0.0,0.0,0.0,0.0035715563898550684,1.323476703651389,1.1276614798241027,1.1447669071511595,1.5765903303995836
2024-06-05,132.7786407470703,138.85676598438496,1373.719970703125,0.054324906065884804,-6.786951326809287e-05,-1.2926648421506606,0.0,0.0,0.0,-0.0,-0.0,-0.0,-6.786951326809287e-05,1.323476703651389,1.1276614798241027,1.1447669071511595,1.5764833279812362
2024-06-07,130.02792358398438,149.67233565281083,1365.25,-0.020934162168659398,0.0750055344725844,0.04532145984309418,1.0,1.0,0.0,0.0745055344725844,0.0745055344725844,0.0,0.0750055344725844,1.42208304281895,1.211678501082543,1.1447669071511595,1.6947283025835875
2024-06-10,133.88092041015625,148.53163790107584,1379.050048828125,0.029201527018687834,-0.0076504903800485025,-0.47342746195830304,0.0,0.0,0.0,-0.0005,-0.0005,-0.0,-0.0076504903800485025,1.4213720012975406,1.2110726618320018,1.1447669071511595,1.681762800007876
2024-06-11,134.129150390625,152.30721532977714,1373.9599609375,0.001852393461989621,0.025101649159204875,-0.11505417418069284,0.0,0.0,0.0,0.0,0.0,0.0,0.025101649159204875,1.4213720012975406,1.2110726618320018,1.1447669071511595,1.7239778197826756
2024-06-12,139.7696075439453,153.71867585579545,1377.3599853515625,0.04119226195179948,0.009224517109772457,-0.6254119218426789,0.0,0.0,0.0,0.0,0.0,-0.0,0.009224517109772457,1.4213720012975406,1.2110726618320018,1.1447669071511595,1.7398806826781292
2024-06-13,142.14297485351562,159.52844006346112,1370.4100341796875,0.016838009595712577,0.03709806227916168,-0.30352810959406157,1.0,1.0,0.0,0.03659806227916168,0.03659806227916168,0.0,0.03709806227916168,1.4733914623228848,1.2553955745343195,1.1447669071511595,1.8044268846024327
2024-06-14,140.37533569335938,158.42488047018938,1373.739990234375,-0.012513611758211418,-0.006941673216908306,-0.15157429212962953,0.0,0.0,0.0,-0.0005,-0.0005,0.0,-0.006941673216908306,1.4726547665917233,1.2547678767470525,1.1447669071511595,1.7919011428257188
2024-06-17,146.80029296875,158.87093812077003,1382.280029296875,0.04475330741844541,0.0028116219520946117,-1.01235493964557,0.0,0.0,0.0,0.0,0.0,-0.0,0.0028116219520946117,1.4726547665917233,1.2547678767470525,1.1447669071511595,1.796939291414871
2024-06-18,152.38113403320312,167.45391077128437,1379.06005859375,0.037311731278224514,0.052615991154277175,-0.7901763149269586,1.0,1.0,0.0,0.052115991154277175,0.052115991154277175,0.0,0.052615991154277175,1.5494036293807218,1.3201613483122732,1.1447669071511595,1.8914870332767288
2024-06-20,143.18563842773438,169.33954195107978,1381.1500244140625,-0.06224288396856181,0.01119766947629941,1.230898236122327,1.0,1.0,0.0,0.01119766947629941,0.01119766947629941,0.0,0.01119766947629941,1.5667533391079058,1.3349440787460598,1.1447669071511595,1.9126672798940678
2024-06-21,138.56802368164062,165.56495686773366,1391.8199462890625,-0.03278060841738828,-0.022542216863262965,1.8668312691487396,-1.0,0.0,0.0,0.021542216863262964,-0.0005,0.0,-0.022542216863262965,1.6005046793102098,1.334276606706687,1.1447669071511595,1.8695515192834284
2024-06-24,138.04171752929688,158.1717836364642,1388.3900146484375,-0.0038054103602132017,-0.04568192582336117,0.7146183816021752,0.0,0.0,0.0,-0.0005,-0.0,-0.0,-0.04568192582336117,1.5997044269705547,1.334276606706687,1.1447669071511595,1.7841468054565708
2024-06-25,140.13702392578125,159.85286780385016,1386.1099853515625,0.015064745869920237,0.010572135321257115,0.5482199934757431,0.0,0.0,0.0,0.0,0.0,-0.0,0.010572135321257115,1.5997044269705547,1.334276606706687,1.1447669071511595,1.8030090469168463
2024-06-26,141.368408203125,167.79968494417014,1390.8900146484375,0.008748620742646374,0.04851710052553315,1.8458846742310815,0.0,0.0,0.0,0.0,0.0,0.0,0.04851710052553315,1.5997044269705547,1.334276606706687,1.1447669071511595,1.8904858180945565
2024-06-27,131.3089599609375,167.35831830356452,1393.3800048828125,-0.07381628766978654,-0.002633784015113605,3.83341994577201,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.002633784015113605,1.5997044269705547,1.334276606706687,1.1447669071511595,1.8855066867660601
2024-06-28,130.61380004882812,168.13421001815365,1386.949951171875,-0.005308141563103774,0.004625397184104152,3.589471978413621,-1.0,0.0,0.0,-0.005125397184104152,0.0,0.0,0.004625397184104152,1.591505306405161,1.334276606706687,1.1447669071511595,1.8942279040856373
2024-07-01,130.60391235351562,168.23110518693352,1380.2900390625,-7.57046314063814e-05,0.000576130576370737,3.2196061416072146,0.0,0.0,0.0,-0.0005,0.0,0.0,0.000576130576370737,1.5907095537519584,1.334276606706687,1.1447669071511595,1.8953192266997958
2024-07-02,131.66644287109375,165.35587004191396,1383.4200439453125,0.008102603359668947,-0.017238720704447985,2.4275675742666962,0.0,0.0,-1.0,-0.0,-0.0,-0.0,-0.017238720704447985,1.5907095537519584,1.334276606706687,1.1447669071511595,1.8626463479049478
2024-07-03,135.8669891357422,168.20683215010496,1383.4200439453125,0.03140460958231639,0.017094426413127195,1.937329641073614,0.0,0.0,-1.0,0.0,0.0,0.01632550952237799,0.017094426413127195,1.5907095537519584,1.334276606706687,1.163455810194759,1.894487218832889
2024-07-05,130.68333435058594,168.59315567831914,1380.25,-0.038899284307747806,0.0022940837981275664,2.67509205543247,0.0,0.0,-1.0,0.0,0.0,-0.04492829869897475,0.0022940837981275664,1.5907095537519584,1.334276606706687,1.111183720031271,1.8988333312673733
