date,BNB,ETH,ETH_MA20,ETH_MA50,ETH_trend_signal,raw_signal,position,BNB_ret,strategy_ret_net,equity_strategy,equity_bnb_buyhold,equity_eth_buyhold
2023-09-23,210.399397529253,1592.93375365284,1618.9988221946235,1687.3432985914667,-1,0,0,-0.003332866353327857,-0.0,0.8024199940199701,1.066924441284507,1.6045020573498079
2023-09-24,208.303608240796,1581.2407817066,1616.6899751022795,1682.2605059380478,-1,0,0,-0.009961004228472792,-0.0,0.8024199940199701,1.056296802413411,1.5927241679672437
2023-09-25,209.881573356303,1587.55197077732,1614.4314464786676,1677.4726998655754,-1,0,0,0.007575313403514805,0.0,0.8024199940199701,1.064298581738823,1.5990811905521898
2023-09-26,212.199459587313,1592.03694038574,1612.4134974284045,1672.7961200116886,-1,0,0,0.011043781471349323,0.0,0.8024199940199701,1.0760524626958137,1.6035987311889925
2023-09-27,211.808788749927,1596.47206604325,1609.9330342635885,1667.5915263237869,-1,0,0,-0.0018410548176972519,-0.0,0.8024199940199701,1.0740713911252726,1.6080660658950097
2023-09-28,215.152401734734,1652.89402893045,1610.7584860315606,1663.5429016481587,-1,0,0,0.015785997382548045,0.0,0.8024199940199701,1.0910266792942458,1.6648977799098768
2023-09-29,215.166856699041,1667.55800642899,1612.4025745908825,1659.8762505727643,-1,0,0,6.718476851963473e-05,0.0,0.8024199940199701,1.091099979669143,1.6796682510681307
2023-09-30,214.696528980734,1671.13527235535,1615.0884788135595,1656.367247662186,-1,0,0,-0.002185874374531882,-0.0,0.8024199940199701,1.0887149721835319,1.6832714960401014
2023-10-01,217.946176803562,1731.54860958504,1624.1979268556404,1654.026091694915,-1,0,0,0.015136005403793007,0.0,0.8024199940199701,1.1051937678856922,1.744123570807255
2023-10-02,214.728110019259,1663.19262887201,1627.657086572181,1650.510805271771,-1,0,0,-0.01476541975408674,-0.0,0.8024199940199701,1.0888751179932592,1.675271170991686
2023-10-03,213.465093685135,1656.90272647575,1630.1162619228537,1646.7720187901814,-1,0,0,-0.0058819328964927475,-0.0,0.8024199940199701,1.0824704276165622,1.6689355896706262
2023-10-04,213.490315669694,1648.97039859731,1631.1886174751621,1643.208978696669,-1,0,0,0.00011815507689605376,0.0,0.8024199940199701,1.082598326993175,1.6609456551417456
2023-10-05,210.743226478754,1613.01122939801,1629.643034891877,1639.330368316774,-1,0,0,-0.012867511963354006,-0.0,0.8024199940199701,1.0686679800690833,1.624725341002153
2023-10-06,213.474031619755,1645.72665341905,1630.193351095851,1638.4669252776155,-1,0,0,0.012957973485692609,0.0,0.8024199940199701,1.0825157514198271,1.6576783530332293
2023-10-07,212.323236241701,1635.14589070719,1630.921618454121,1637.956755371128,-1,0,0,-0.005390797978200079,-0.0,0.8024199940199701,1.0766801276957034,1.6470207500409018
2023-10-08,211.441316780065,1632.99003798948,1630.6887398451204,1637.2393101811808,-1,0,0,-0.004153664371581378,-0.0,0.8024199940199701,1.072207959809704,1.644849240953988
2023-10-09,205.607068130471,1579.55456808884,1627.492403857394,1635.1591656107544,-1,0,0,-0.027592755940233804,-0.0,0.8024199940199701,1.042622787257499,1.5910257086228903
2023-10-10,208.593046303172,1568.32793717125,1624.7753667445945,1633.1799825774403,-1,0,0,0.01452274087584482,0.0,0.8024199940199701,1.0577645278280907,1.5797175469601261
2023-10-11,206.399019439457,1565.31241496201,1623.806573158972,1631.8484827060204,-1,0,0,-0.010518216702805061,-0.0,0.8024199940199701,1.0466387313038545,1.5766801252358302
2023-10-12,205.152072478567,1538.10105201636,1621.0303483781422,1629.0326150613678,-1,0,0,-0.006041438395766097,-0.0,0.8024199940199701,1.0403155278860594,1.5492711462186757
2023-10-13,205.916843084607,1550.26081034483,1618.8967012127416,1626.905029234366,-1,0,0,0.0037278229598187718,0.0,0.8024199940199701,1.044193639996369,1.561519211908894
2023-10-14,206.568659983842,1555.66229076563,1617.6177766656929,1624.9589061250736,-1,0,0,0.0031654375109431143,0.0,0.8024199940199701,1.0474989697131016,1.5669599193005443
2023-10-15,209.663555154697,1556.29597632963,1616.0549769433085,1623.1662572063124,-1,0,0,0.014982404257727566,0.0,0.8024199940199701,1.0631930227368964,1.5675982068557046
2023-10-16,214.896554178999,1600.99388457043,1616.5028241525429,1622.05105597896,-1,0,0,0.024959030292321938,0.0,0.8024199940199701,1.089729289597972,1.6126207230571075
2023-10-17,211.561897544784,1565.29439362946,1614.9439405318535,1620.300665464641,-1,0,0,-0.01551749699735716,-0.0,0.8024199940199701,1.0728194186187032,1.5766619730276255
2023-10-18,210.51889968193,1563.40930859147,1610.4697045149046,1617.0297581005266,-1,0,0,-0.004929989166093551,-0.0,0.8024199940199701,1.0675304305077382,1.574763198006506
2023-10-19,210.927903179787,1566.42841876096,1605.413225131503,1614.257463652835,-1,0,0,0.0019428350541208506,0.0,0.8024199940199701,1.0696044660494695,1.5778042337477627
2023-10-20,212.427630725648,1605.57386294565,1602.135154661018,1613.4554028053776,-1,0,0,0.007110142959998456,0.0,0.8024199940199701,1.077209506713734,1.6172339624393526
2023-10-21,214.28809349463,1628.75319929866,1596.995384146699,1613.4553978959677,-1,0,0,0.008758101583238975,0.0,0.8024199940199701,1.0866438169999635,1.6405816332267427
2023-10-22,217.638721759802,1663.03004091175,1596.987254748686,1613.978331408534,-1,0,0,0.015636091630335747,0.0,0.8024199940199701,1.1036346792921128,1.675107402274915
2023-10-23,228.049558058776,1763.06074313267,1602.295155581532,1616.5282517416722,-1,0,0,0.04783540454011659,0.0,0.8024199940199701,1.1564274906405527,1.7758645537531623
2023-10-24,225.435773933218,1784.6231823495,1609.0777947691417,1619.6723609175926,-1,0,0,-0.011461474198008914,-0.0,0.8024199940199701,1.1431731267947078,1.7975835850722912
2023-10-25,222.130078975396,1786.28815692577,1617.7416411455295,1622.7436731911166,-1,0,0,-0.014663577568665986,-0.0,0.8024199940199701,1.126410118975539,1.7992606511316513
2023-10-26,223.252418145249,1804.61282933957,1625.6859499415555,1626.1880113500881,-1,0,0,0.005052621306533389,0.0,0.8024199940199701,1.1321014427425697,1.817718402134027
2023-10-27,224.427143957332,1780.84673845704,1632.970992329048,1628.8833195324376,1,1,1,0.0052618727350970396,0.0,0.8024199940199701,1.138058416457501,1.7937797156514674
2023-10-28,225.631967197043,1776.20995675044,1640.131988267096,1631.6798187960262,1,0,1,0.005368438141956977,0.004368438141956977,0.8059253161277159,1.1441680126681866,1.7891092604171168
2023-10-29,227.270141007036,1797.71945149036,1651.040232437172,1634.9406831209824,1,0,1,0.007260379946793627,0.007260379946793627,0.8117766401315428,1.1524751071631254,1.8107749627626255
