date,regime,n_holdings,turnover,nav,holdings
2024-08-09,RISK_OFF,10,0.5,135890051.0,"196170(196170),087010(087010),012450(한화에어로스페이스),141080(141080),079550(079550),329180(329180),042700(042700),009540(009540),028300(028300),214150(214150)"
2024-08-16,RISK_OFF,10,0.1,137326843.0,"196170(196170),087010(087010),012450(한화에어로스페이스),079550(079550),141080(141080),028300(028300),042700(042700),064350(현대로템),329180(329180),009540(009540)"
2024-08-23,RISK_OFF,10,0.15,134316286.0,"196170(196170),141080(141080),012450(한화에어로스페이스),028300(028300),079550(079550),064350(현대로템),087010(087010),259960(259960),042700(042700),329180(329180)"
2024-08-30,RISK_OFF,10,0.25,133393075.0,"196170(196170),000100(000100),141080(141080),012450(한화에어로스페이스),028300(028300),079550(079550),064350(현대로템),087010(087010),009540(009540),329180(329180)"
2024-09-06,RISK_OFF,10,0.25,127201482.0,"196170(196170),000100(000100),012450(한화에어로스페이스),028300(028300),259960(259960),064350(현대로템),141080(141080),214150(214150),329180(329180),009540(009540)"
2024-09-13,RISK_OFF,10,0.1,130008740.0,"196170(196170),012450(한화에어로스페이스),000100(000100),087010(087010),141080(141080),028300(028300),259960(259960),064350(현대로템),329180(329180),009540(009540)"
2024-09-20,RISK_OFF,10,0.05,133692342.0,"196170(196170),000100(000100),141080(141080),087010(087010),064350(현대로템),028300(028300),259960(259960),329180(329180),009540(009540),079550(079550)"
2024-09-27,RISK_OFF,10,0.2,131304302.0,"196170(196170),000100(000100),012450(한화에어로스페이스),141080(141080),064350(현대로템),259960(259960),087010(087010),079550(079550),028300(028300),138040(138040)"
2024-10-04,RISK_OFF,10,0.1,132865316.0,"196170(196170),000100(000100),141080(141080),012450(한화에어로스페이스),064350(현대로템),079550(079550),259960(259960),028300(028300),138040(138040),009540(009540)"
2024-10-11,RISK_OFF,10,0.15,135621076.0,"196170(196170),141080(141080),000100(000100),087010(087010),012450(한화에어로스페이스),079550(079550),064350(현대로템),259960(259960),214150(214150),138040(138040)"
2024-10-18,RISK_OFF,10,0.0,139454660.0,"196170(196170),087010(087010),141080(141080),012450(한화에어로스페이스),000100(000100),079550(079550),064350(현대로템),259960(259960),138040(138040),214150(214150)"
2024-10-25,RISK_OFF,10,0.05,136993737.0,"196170(196170),087010(087010),141080(141080),012450(한화에어로스페이스),000100(000100),064350(현대로템),079550(079550),009540(009540),259960(259960),138040(138040)"
2024-11-01,RISK_OFF,10,0.2,134422945.0,"196170(196170),087010(087010),141080(141080),012450(한화에어로스페이스),000100(000100),079550(079550),064350(현대로템),138040(138040),259960(259960),326030(326030)"
2024-11-08,RISK_OFF,10,0.2,138181400.0,"196170(196170),087010(087010),141080(141080),012450(한화에어로스페이스),000100(000100),079550(079550),064350(현대로템),138040(138040),376300(376300),009540(009540)"
2024-11-15,RISK_OFF,10,0.3,138694404.0,"087010(087010),196170(196170),141080(141080),012450(한화에어로스페이스),064350(현대로템),079550(079550),000100(000100),272210(272210),138040(138040),329180(329180)"
2024-11-22,RISK_OFF,10,0.45,134539668.0,"196170(196170),087010(087010),012450(한화에어로스페이스),064350(현대로템),329180(329180),079550(079550),028300(028300),009540(009540),141080(141080),000100(000100)"
2024-11-29,RISK_OFF,10,0.2,130441565.0,"196170(196170),087010(087010),329180(329180),009540(009540),012450(한화에어로스페이스),141080(141080),000100(000100),010620(010620),028300(028300),138040(138040)"
2024-12-06,RISK_OFF,10,0.1,130705470.0,"196170(196170),087010(087010),141080(141080),329180(329180),138040(138040),012450(한화에어로스페이스),000100(000100),009540(009540),010620(010620),028300(028300)"
2024-12-13,RISK_OFF,10,0.25,132322569.0,"087010(087010),196170(196170),141080(141080),329180(329180),010620(010620),000100(000100),009540(009540),012450(한화에어로스페이스),376300(376300),138040(138040)"
2024-12-20,RISK_OFF,10,0.15,128675285.0,"087010(087010),196170(196170),329180(329180),010620(010620),009540(009540),012450(한화에어로스페이스),141080(141080),376300(376300),138040(138040),000100(000100)"
2024-12-27,RISK_OFF,10,0.0,131977542.0,"087010(087010),196170(196170),329180(329180),009540(009540),012450(한화에어로스페이스),141080(141080),010620(010620),138040(138040),376300(376300),000100(000100)"
2025-01-03,RISK_OFF,10,0.05,134239430.0,"087010(087010),196170(196170),329180(329180),141080(141080),012450(한화에어로스페이스),009540(009540),138040(138040),079550(079550),000100(000100),010620(010620)"
2025-01-10,RISK_OFF,10,0.15,135521796.0,"329180(329180),087010(087010),012450(한화에어로스페이스),196170(196170),009540(009540),141080(141080),042660(042660),000100(000100),064350(현대로템),010620(010620)"
2025-01-17,RISK_OFF,10,0.25,135599097.0,"329180(329180),196170(196170),042660(042660),012450(한화에어로스페이스),009540(009540),087010(087010),141080(141080),000100(000100),138040(138040),010140(010140)"
2025-01-24,RISK_OFF,10,0.1,137075414.0,"042660(042660),196170(196170),329180(329180),087010(087010),012450(한화에어로스페이스),141080(141080),064350(현대로템),009540(009540),138040(138040),000100(000100)"
2025-01-31,RISK_OFF,10,0.0,137981452.0,"196170(196170),042660(042660),329180(329180),087010(087010),141080(141080),012450(한화에어로스페이스),064350(현대로템),009540(009540),138040(138040),000100(000100)"
2025-02-07,RISK_OFF,10,0.1,141339478.0,"196170(196170),042660(042660),064350(현대로템),329180(329180),087010(087010),141080(141080),012450(한화에어로스페이스),000100(000100),259960(259960),138040(138040)"
2025-02-14,RISK_OFF,10,0.15,144236144.0,"042660(042660),196170(196170),012450(한화에어로스페이스),087010(087010),064350(현대로템),329180(329180),272210(272210),079550(079550),141080(141080),138040(138040)"
2025-02-21,RISK_ON,10,0.6,145587208.0,"012450(한화에어로스페이스),042660(042660),196170(196170),064350(현대로템),087010(087010),079550(079550),329180(329180),272210(272210),376300(376300),138040(138040)"
2025-02-28,RISK_OFF,10,0.7,136821594.0,"042660(042660),012450(한화에어로스페이스),196170(196170),087010(087010),329180(329180),064350(현대로템),122870(122870),272210(272210),214150(214150),079550(079550)"
2025-03-07,RISK_OFF,10,0.1,142572964.0,"012450(한화에어로스페이스),042660(042660),196170(196170),064350(현대로템),087010(087010),272210(272210),329180(329180),079550(079550),010140(010140),122870(122870)"
2025-03-14,RISK_OFF,10,0.25,139920822.0,"012450(한화에어로스페이스),042660(042660),064350(현대로템),087010(087010),329180(329180),272210(272210),196170(196170),079550(079550),122870(122870),047810(047810)"
