Date,AAPL,AMD,AMZN,ANET,AVGO,DELL,GOOGL,META,MRVL,MSFT,MU,NVDA,ORCL,PLTR,SMCI,TSLA,TSM,VRT
2025-10-03,257.2920837402344,164.6699981689453,219.50999450683594,145.5,337.016845703125,139.19876098632812,245.0171356201172,709.3735961914062,86.05792236328125,514.0940551757812,187.67530822753906,187.59939575195312,283.8996887207031,173.07000732421875,51.959999084472656,429.8299865722656,290.58453369140625,160.10214233398438
2025-10-06,255.96585083007812,203.7100067138672,220.89999389648438,149.5,334.1483459472656,144.1637725830078,250.09024047851562,714.465087890625,88.75284576416016,525.2435302734375,190.802734375,185.51962280273438,289.3070373535156,179.52999877929688,54.619998931884766,453.25,300.7384033203125,162.70054626464844
2025-10-07,255.7564697265625,211.50999450683594,221.77999877929688,145.2899932861328,335.0646667480469,149.21780395507812,245.42657470703125,711.889404296875,86.80650329589844,520.682373046875,185.53707885742188,185.01968383789062,282.0145263671875,182.1699981689453,55.06999969482422,433.0899963378906,292.4143981933594,158.77294921875
2025-10-08,257.33197021484375,235.55999755859375,225.22000122070312,157.36000061035156,344.11834716796875,162.72824096679688,244.2881317138672,716.6414794921875,92.32611846923828,521.546875,196.3781280517578,189.0892333984375,286.3702087402344,183.55999755859375,58.68000030517578,438.69000244140625,302.8467712402344,167.2777557373047
2025-10-09,253.32330322265625,232.88999938964844,227.74000549316406,158.22999572753906,343.6402282714844,154.2421875,241.2023162841797,732.2852783203125,90.50953674316406,519.1123657226562,192.17160034179688,192.54885864257812,295.1462707519531,185.47000122070312,57.97999954223633,435.5400085449219,298.2322692871094,168.77685546875
2025-10-10,244.57806396484375,214.89999389648438,216.3699951171875,154.10000610351562,323.331787109375,148.92112731933594,236.24905395507812,704.1223754882812,85.50564575195312,507.74432373046875,181.450439453125,183.139892578125,291.1706848144531,175.44000244140625,52.86000061035156,413.489990234375,279.11785888671875,168.90673828125
2025-10-13,246.96131896972656,216.4199981689453,220.07000732421875,147.4499969482422,355.2735595703125,151.72010803222656,243.8187713623047,714.5050048828125,89.28103637695312,510.8148498535156,192.6112518310547,188.29933166503906,306.1287536621094,177.2100067138672,54.75,435.8999938964844,301.2257385253906,178.89065551757812
2025-10-14,247.07101440429688,218.08999633789062,216.38999938964844,138.7899932861328,342.7538146972656,147.1408233642578,245.11700439453125,707.466796875,86.11490631103516,510.3379211425781,186.90594482421875,180.01022338867188,297.1737976074219,179.74000549316406,53.11000061035156,429.239990234375,294.3139343261719,175.04299926757812
2025-10-15,248.63658142089844,238.60000610351562,215.57000732421875,143.3800048828125,349.92498779296875,152.01683044433594,250.68943786621094,716.3519287109375,88.78164672851562,510.19879150390625,191.78192138671875,179.8102569580078,301.76556396484375,179.6199951171875,53.939998626708984,435.1499938964844,303.03570556640625,180.39971923828125
2025-10-16,246.75192260742188,234.55999755859375,214.47000122070312,146.00999450683594,352.7337341308594,149.6529998779297,251.1188507080078,710.881103515625,88.12245178222656,508.3902282714844,202.36318969726562,181.7900390625,311.0882873535156,178.1199951171875,53.84000015258789,428.75,298.1924743652344,177.7113800048828
2025-10-17,251.57826232910156,233.0800018310547,213.0399932861328,143.10000610351562,347.9329833984375,147.95184326171875,252.95635986328125,715.7229614257812,87.84278869628906,510.3478698730469,202.2133331298828,183.19989013671875,289.53076171875,178.14999389648438,52.18000030517578,439.30999755859375,293.4586181640625,173.8937225341797
2025-10-20,261.5001525878906,240.55999755859375,216.47999572753906,146.47999572753906,347.8433532714844,146.25067138671875,256.2019348144531,730.947509765625,85.73535919189453,513.53759765625,206.59971618652344,182.6199493408203,275.487060546875,181.58999633789062,55.040000915527344,447.42999267578125,296.06427001953125,175.62265014648438
2025-10-21,262.0286865234375,238.02999877929688,222.02999877929688,145.94000244140625,341.2897033691406,148.32017517089844,250.12020874023438,732.0457153320312,84.15728759765625,514.4021606445312,202.12339782714844,181.14010620117188,273.4694519042969,181.50999450683594,54.81999969482422,442.6000061035156,292.89178466796875,174.69322204589844
2025-10-22,257.72088623046875,230.22999572753906,217.9499969482422,146.58999633789062,338.9391174316406,149.01499938964844,251.34854125976562,732.1854248046875,80.95120239257812,517.2640991210938,198.30654907226562,180.2602081298828,270.99468994140625,175.49000549316406,52.5,438.9700012207031,287.292724609375,171.48516845703125
2025-10-23,258.84771728515625,234.99000549316406,221.08999633789062,152.75999450683594,342.9131774902344,153.08453369140625,252.7366485595703,732.7744750976562,82.66909790039062,517.283935546875,206.53976440429688,182.13999938964844,278.35943603515625,180.47999572753906,47.91999816894531,448.9800109863281,289.1325378417969,183.0880889892578
2025-10-24,262.07855224609375,252.9199981689453,224.2100067138672,153.82000732421875,352.7138366699219,157.4617919921875,259.5674133300781,737.127197265625,84.0274429321289,520.314697265625,218.83963012695312,186.23953247070312,281.5994873046875,184.6300048828125,48.290000915527344,433.7200012207031,293.33929443359375,185.94635009765625
